kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel
scheme_a,double,local,local,10000,10000,40,1,1,1,16,3.429999964e-07,1.766153634e+00,6.533330000e-04,1.766807310e+00,1.766807310e+00,-1.000000000e+00,-1.000000000e+00,4.527941,4.529617,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,17,3.649999982e-07,1.754427588e+00,6.433730000e-04,1.755071326e+00,1.755071326e+00,-1.000000000e+00,-1.000000000e+00,4.558219,4.559892,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,18,3.090000007e-07,1.756244185e+00,6.506060000e-04,1.756895100e+00,1.756895100e+00,-1.000000000e+00,-1.000000000e+00,4.553488,4.555175,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,19,3.740000025e-07,1.745478861e+00,6.614120000e-04,1.746140647e+00,1.746140647e+00,-1.000000000e+00,-1.000000000e+00,4.581532,4.583269,-1.000000
scheme_a,double,local,local,10000,10000,40,1,1,1,20,3.440000000e-07,1.751152970e+00,6.525330000e-04,1.751805847e+00,1.751805847e+00,-1.000000000e+00,-1.000000000e+00,4.566716,4.568419,-1.000000
scheme_a,double,local,local,10000,10000,64,1,1,1,1,6.950000007e-07,3.023464909e+00,1.423622000e-03,3.024889226e+00,3.024889226e+00,-1.000000000e+00,-1.000000000e+00,4.231560,4.233553,-1.000000
scheme_a,double,local,local,10000,10000,64,1,1,1,2,2.148000000e-06,3.017976907e+00,1.057188000e-03,3.019036243e+00,3.019036243e+00,-1.000000000e+00,-1.000000000e+00,4.239764,4.241252,-1.000000
scheme_a,double,local,local,10000,10000,64,1,1,1,3,7.919999980e-07,3.018767996e+00,1.503887000e-03,3.020272675e+00,3.020272675e+00,-1.000000000e+00,-1.000000000e+00,4.238028,4.240140,-1.000000
scheme_a,double,local,local,10000,10000,64,1,1,1,4,2.082999998e-06,3.040684159e+00,1.043970000e-03,3.041730212e+00,3.041730212e+00,-1.000000000e+00,-1.000000000e+00,4.208131,4.209579,-1.000000
scheme_a,double,local,local,10000,10000,64,1,1,1,5,4.010000012e-07,3.038714372e+00,1.062298000e-03,3.039777071e+00,3.039777071e+00,-1.000000000e+00,-1.000000000e+00,4.210835,4.212308,-1.000000
scheme_a,double,local,local,10000,10000,64,1,1,1,6,3.640000017e-07,3.036231493e+00,1.473282000e-03,3.037705139e+00,3.037705139e+00,-1.000000000e+00,-1.000000000e+00,4.213707,4.215752,-1.000000
scheme_a,double,local,local,10000,10000,64,1,1,1,7,2.110000004e-06,3.040533757e+00,1.051087000e-03,3.041586954e+00,3.041586954e+00,-1.000000000e+00,-1.000000000e+00,4.208329,4.209787,-1.000000
scheme_a,double,local,local,10000,10000,64,1,1,1,8,3.600000014e-07,3.044174779e+00,1.058747000e-03,3.045233886e+00,3.045233886e+00,-1.000000000e+00,-1.000000000e+00,4.203290,4.204752,-1.000000
scheme_a,double,local,local,10000,10000,64,1,1,1,9,3.600000014e-07,3.037249594e+00,1.045878000e-03,3.038295832e+00,3.038295832e+00,-1.000000000e+00,-1.000000000e+00,4.212888,4.214339,-1.000000
scheme_a,double,local,local,10000,10000,64,1,1,1,10,3.250000020e-07,3.017338433e+00,1.055466000e-03,3.018394224e+00,3.018394224e+00,-1.000000000e+00,-1.000000000e+00,4.240665,4.242149,-1.000000
scheme_a,double,local,local,10000,10000,64,1,1,1,11,3.550000045e-07,3.015747192e+00,1.043838000e-03,3.016791385e+00,3.016791385e+00,-1.000000000e+00,-1.000000000e+00,4.242919,4.244388,-1.000000
scheme_a,double,local,local,10000,10000,64,1,1,1,12,4.569999987e-07,3.019108864e+00,1.044665000e-03,3.020153986e+00,3.020153986e+00,-1.000000000e+00,-1.000000000e+00,4.238194,4.239662,-1.000000
scheme_a,double,local,local,10000,10000,64,1,1,1,13,3.520000007e-07,3.044083139e+00,1.046123000e-03,3.045129614e+00,3.045129614e+00,-1.000000000e+00,-1.000000000e+00,4.203434,4.204879,-1.000000
scheme_a,double,local,local,10000,10000,64,1,1,1,14,3.450000037e-07,3.039501181e+00,1.049757000e-03,3.040551283e+00,3.040551283e+00,-1.000000000e+00,-1.000000000e+00,4.209763,4.211217,-1.000000
scheme_a,double,local,local,10000,10000,64,1,1,1,15,3.379999995e-07,3.037960830e+00,1.061222000e-03,3.039022390e+00,3.039022390e+00,-1.000000000e+00,-1.000000000e+00,4.211881,4.213353,-1.000000
